kommune,lyn_treff,andel (%),lyn_per_år
Sørfold,2140,0.08799544726358831,107.0
Eid,2124,0.0873375373775054,106.2
Norddal,2110,0.08676186622718286,105.5
Beiarn,2108,0.08667962749142251,105.4
Horten,2102,0.0864329112841414,105.1
Time,2089,0.08589835950169905,104.45
Agdenes,2073,0.08524044961561615,103.65
Tingvoll,2064,0.08487037530469452,103.2
Skaun,1992,0.08190978081732145,99.6
Tvedestrand,1986,0.08166306461004036,99.3
Rennesøy,1973,0.081128512827598,98.65
Stord,1929,0.07931926064087003,96.45
Sveio,1928,0.07927814127298985,96.4
Lørenskog,1910,0.07853799265114658,95.5
Hå,1906,0.07837351517962585,95.3
Grimstad,1835,0.07545404006013295,91.75
Larvik,1767,0.07265792304428062,88.35
Rælingen,1753,0.07208225189395809,87.65
Sokndal,1740,0.07154770011151573,87.0
Vevelstad,1736,0.071383222639995,86.8
Steigen,1713,0.07043747717875083,85.65
Svelvik,1704,0.0700674028678292,85.2
Leka,1702,0.06998516413206883,85.1
Tysfjord,1693,0.0696150898211472,84.65
Vadsø,1688,0.06940949298174628,84.4
Balestrand,1640,0.06743576332349759,82.0
Volda,1617,0.0664900178622534,80.85
Frosta,1581,0.06500972061856687,79.05
Askvoll,1549,0.06369390084640107,77.45
Lyngen,1511,0.06213136486695418,75.55
Vanylven,1507,0.06196688739543344,75.35
Hyllestad,1490,0.061267858141470365,74.5
Klæbu,1470,0.06044547078386674,73.5
Askim,1458,0.05995203836930455,72.9
Songdalen,1421,0.05843062175773785,71.05
Nordkapp,1414,0.058142786182576574,70.7
Andebu,1412,0.05806054744681621,70.6
Stavanger,1405,0.05777271187165494,70.25
Haram,1385,0.05695032451405131,69.25
Skjervøy,1384,0.05690920514617113,69.2
Sømna,1384,0.05690920514617113,69.2
Granvin,1381,0.05678584704253059,69.05
Fitjar,1356,0.05575786284552604,67.8
Vikna,1336,0.054935475487922415,66.8
Risør,1325,0.05448316244124042,66.25
Rødøy,1283,0.052756148990272804,64.15
Fræna,1224,0.0503301062853421,61.2
Malvik,1220,0.05016562881382137,61.0
Båtsfjord,1212,0.049836673870779925,60.6
Oppegård,1209,0.049713315767139374,60.45
Måsøy,1188,0.04884980904165556,59.4
Fauske,1155,0.04749286990160958,57.75
Hamarøy,1151,0.04732839243008885,57.55
Ballangen,1124,0.046218169497323956,56.2
Ørland,1098,0.04514906593243923,54.9
Vestnes,1090,0.04482011098939778,54.5
Alstahaug,1071,0.04403884299967433,53.55
Leirfjord,1044,0.04292862006690944,52.2
Salangen,961,0.03951571253285437,48.05
Sola,912,0.03750086350672548,45.6
Arendal,878,0.03610280499879931,43.9
Gildeskål,872,0.03585608879151823,43.6
Sykkylven,853,0.035074820801794776,42.65
Meløy,825,0.0339234785011497,41.25
Bokn,795,0.03268989746474425,39.75
Hornindal,794,0.03264877809686407,39.7
Averøy,782,0.0321553456823019,39.1
Vågsøy,759,0.031209600221057718,37.95
Loppa,750,0.03083952591013609,37.5
Selje,722,0.02968818360949101,36.1
Randaberg,721,0.02964706424161083,36.05
Tønsberg,709,0.029153631827048648,35.45
Dyrøy,666,0.027385499008200847,33.3
Farsund,663,0.027262140904560302,33.15
Stordal,661,0.02717990216879994,33.05
Sørreisa,635,0.026110798603915224,31.75
Klepp,621,0.025535127453592682,31.05
Giske,605,0.024877217567509775,30.25
Nesna,604,0.024836098199629595,30.2
Midsund,597,0.024548262624468326,29.85
Eide,583,0.023972591474145787,29.15
Leikanger,566,0.0232735622201827,28.3
Austevoll,538,0.02212221991953762,26.9
Lavangen,499,0.020518564572210542,24.95
Bømlo,487,0.020025132157648368,24.35
Kristiansund,487,0.020025132157648368,24.35
Ulstein,449,0.018462596178201472,22.45
Kristiansand,447,0.01838035744244111,22.35
Skånland,428,0.01759908945271766,21.4
Vega,425,0.01747573134907712,21.25
Herøy,417,0.017146776406035662,20.85
Gratangen,409,0.016817821462994213,20.45
Lurøy,396,0.016283269680551854,19.8
Lenvik,395,0.016242150312671674,19.75
Halden,390,0.01603655347327077,19.5
Sula,350,0.014391778758063509,17.5
Aukra,348,0.014309540022303146,17.4
Evenes,336,0.013816107607740968,16.8
Hareid,327,0.013446033296819334,16.35
Ørskog,317,0.013034839618017519,15.85
Ålesund,311,0.012788123410736431,15.55
Smøla,284,0.011677900477971532,14.2
Askøy,275,0.0113078261670499,13.75
Sandøy,270,0.011102229327648993,13.5
Skodje,264,0.010855513120367904,13.2
Lillesand,229,0.009416335244561553,11.45
Ibestad,213,0.00875842535847865,10.65
Dønna,208,0.008552828519077741,10.4
Vardø,202,0.008306112311796654,10.1
Meland,198,0.008141634840275927,9.9
Tjeldsund,177,0.007278128114792117,8.85
Hammerfest,81,0.0033306687982946974,4.05
Karlsøy,77,0.003166191326773972,3.85
Kvitsøy,76,0.0031250719588937904,3.8
Nøtterøy,42,0.001727013450967621,2.1
Radøy,27,0.001110222932764899,1.35
Solund,22,0.0009046260933639918,1.1
Haugesund,12,0.0004934324145621774,0.6
Tranøy,11,0.0004523130466819959,0.55
Lødingen,6,0.0002467162072810887,0.3
Sund,3,0.00012335810364054434,0.15
Harstad,3,0.00012335810364054434,0.15
