kommune,kommunenummer,lyn_treff,lyn_per_år,andel (%),areal_km2,lyn_per_km2_per_år
Engerdal,3425,21862,2185.3025451559934,0.8038023062530172,2196.54,0.9948840199386277
Etne,4611,4426,442.4183087027914,0.16273117772737417,735.28,0.601700452484484
Etnedal,3450,5727,572.4649014778325,0.21056517280720108,459.14,1.2468199274248215
Evenes - Evenášši,1853,336,33.58620689655172,0.012353745078264283,252.79,0.13286208669864996
Evje og Hornnes,4219,6753,675.0227832512315,0.24828821581404378,587.0699999999999,1.1498165180493496
Farsund,4206,4967,496.4961001642036,0.18262217798731756,262.57,1.8909094723852824
Fauske - Fuossko,1841,2375,237.40250410509032,0.08732185881213594,1196.98,0.1983345620687817
Fedje,4633,303,30.28756157635468,0.011140430829506186,9.27,3.267266620965985
Fitjar,4615,1960,195.91954022988506,0.07206351295654166,142.47,1.3751634746254304
Fjaler,4646,2626,262.4922003284072,0.09655040052238693,416.59,0.6300972186764138
Fjord,1578,2771,276.98624794745484,0.10188162979723314,1190.58,0.23264816135619182
Flakstad,1859,1132,113.1535303776683,0.04162035544224753,178.54,0.633771313866183
Flatanger,5049,5515,551.2736042692939,0.20277054793639143,458.71,1.2017911191587145
Flekkefjord,4207,7371,736.7974137931034,0.27101028265442273,544.09,1.3541829730248733
Flesberg,3334,9397,939.3142446633825,0.3455004241084806,561.91,1.6716453607577415
Flå,3320,9527,952.308908045977,0.3502801469066186,704.27,1.3521929203941343
Folldal,3429,10508,1050.3686371100164,0.3863486704833366,1277.07,0.8224832132224674
Fredrikstad,3107,11320,1131.5353037766831,0.41620355442247525,292.55,3.8678355965704427
Frogn,3214,2720,271.88834154351395,0.10000650777642515,85.69000000000001,3.1729296480746165
Froland,4214,9425,942.1130952380952,0.3465299028650026,644.54,1.4616828982500625
Frosta,5036,1581,158.0350985221675,0.05812878264504712,76.32000000000001,2.0706904942632005
Frøya,5014,4104,410.23152709359607,0.1508921720273709,241.32,1.6999483138305822
Fyresdal,4032,11173,1116.8413382594417,0.4107987909507347,1280.02,0.8725186624110887
Færder,3911,8441,843.7534893267651,0.3103510779929429,99.95,8.441755771153227
Gamvik,5626,3972,397.03694581280786,0.1460389150323385,1416.55,0.28028445576422145
Gausdal,3441,13706,1370.037356321839,0.5039298513175307,1191.15,1.15018037721684
Gildeskål,1838,1105,110.45463875205255,0.04062764378417272,664.7,0.1661721660178314
Giske,1532,1031,103.05767651888341,0.037906878499078804,40.58,2.539617459804914
Gjemnes,1557,2483,248.19807060755335,0.09129270544443517,381.63,0.6503631019771856
Gjerdrum,3230,2521,251.9965106732348,0.09268985518542935,83.19000000000001,3.0291682975506045
Gjerstad,4211,6906,690.3165024630541,0.2539135818764677,322.13,2.1429748935617736
Gjesdal,1122,5538,553.5726600985222,0.20361619120067737,617.98,0.8957776305034503
Gjøvik,3407,8709,870.542487684729,0.32020466037679657,671.11,1.2971681060999374
Gloppen,4650,4721,471.90619868637106,0.17357747176930263,1030.53,0.45792572626354505
Gol,3324,4837,483.5014367816092,0.1778424551891796,532.5,0.9079839188387027
